osmid,name,amenity,Longitude,Latitude
1165053690,Bar Tabac,bar,2.219323,48.842143
1165739794,Caveau des Oubliettes,bar,2.3467331,48.8520115
1166299425,Le Point Du Jour,bar,2.257397,48.833609
1166504803,Le Moulin d'Auteuil,bar,2.2606251,48.8478519
1191165485,La Ménagerie,bar,2.3591245,48.8368456
1191783267,Les Écus,bar,2.1771422,48.8787917
1200417829,tabac du marche,bar,2.2468363,48.9087485
1202449444,Le Normandy,bar,2.195283,48.8853494
1206262837,Chez Polette,bar,2.317169,48.9018263
1210666304,Les Bruyères,bar,2.267961,48.905991
1210867025,Les Sablières,bar,2.268192,48.90609
1210869467,Le Balto,bar,2.268476,48.906157
1224795726,Le Beyer Claude,bar,2.384073,48.8508003
1225031605,Le Balto,bar,1.8998606,48.813745
1225038143,Le Nemrod,bar,1.9412559,48.8318303
1225461874,Tabac du Temple,bar,2.3622765,48.8670533
1231110978,Le Rallye,bar,2.2688958,48.9061652
1240425293,Bistrot Balard,bar,2.2791434,48.8368019
1240426071,Le Balard,bar,2.2791133,48.8369546
1240426837,Le Rouergue,bar,2.3419355,48.8651635
1240956663,Aux Armes de la Ville,bar,2.2059624,48.8917922
1243322704,La bicylette,bar,2.3721944,48.8813769
1244411731,Les Coteaux,bar,2.3044201,48.846899
1246974426,L'Autrement Bon,bar,2.2641706,48.8028022
1252378726,Carpe Diem,bar,2.2198234,48.8961881
1252381095,Le Victor Hugo,bar,2.2940571,48.8984225
1252381570,Le Dugommier,bar,2.3895336,48.8385292
1252487298,Bar Les Pirates,bar,2.3767039,48.8654085
1272453341,Le Xème,bar,2.352256,48.8710357
1272477681,L'Horloge occitane,bar,2.3579616,48.8710551
1291120262,On Cherche Encore,bar,2.3726204,48.86904
1291532250,Polly Maggoo,bar,2.2583877,48.8846802
1292272228,Orange Mécanique,bar,2.3755303,48.867139
1299587200,Le Neptune,bar,2.2796456,48.8903757
1307259134,Bastille bar,bar,2.3708103,48.8536882
1307259214,Les furieux,bar,2.3753324,48.8557897
1307259285,Bar'Ock,bar,2.3710477,48.8545778
1312808399,Bar Tabac,bar,2.6156885,48.8456237
1314996284,La Camargue,bar,2.1745509,48.9287248
1316079346,L'Imprévu,bar,2.237479,48.8416745
1326677896,Le Vingt Heures Vin,bar,2.3333605,48.886254
1345568296,La Terrasse,bar,2.1911166,48.7050705
1359954346,Le Balto,bar,2.1710663,49.0705335
1359954347,Le Saint-Antoine,bar,2.1123748,49.0665812
1368149075,Stop Bar,bar,2.3531176,48.9299947
1374463830,Bar de la piscine,bar,2.3884076,48.8831571
1398085544,Le tout va bien,bar,2.1815833,48.8772209
1398112294,Café De La Place,bar,2.1840292,48.8795301
1404449817,Les Souffleurs,bar,2.3550986,48.8570855
1411497642,La Chope des Halles,bar,2.1957034,48.8890378
1411499309,Old Lager,bar,2.207335,48.8928755
1411893910,Le Bel Air,bar,2.1387076,48.8223003
1429598287,La Garance,bar,1.7649267,48.8110149
1434075749,Le Rallye Tournelle,bar,2.3553355,48.8497121
1437579349,La fontaine Henri IV,bar,2.3914872,48.8716241
1444474414,La Chaumière,bar,2.128265,48.8265295
1450939214,La tendresse,bar,2.4034794,48.8278377
1450939226,Chez moustache,bar,2.4036725,48.827707
1455458344,Tabac de la Poste,bar,2.2189301,48.8443615
1459465788,Le Bureau,bar,2.4952066,48.8383355
1459478739,La Flèche d'Or,bar,2.4029865,48.8594342
1460356958,Le Sully,bar,1.6313168,49.0009059
1465066410,La Pirogue,bar,2.1325649,48.808195
1473176982,La Terrasse,bar,2.2404286,49.0095905
1477656356,Le Bar au mètre,bar,2.3697771,48.8637107
1478358936,Chez Arthur,bar,1.5835669,49.0375504
1482958092,Les Domaines de Sophie,bar,2.3386203,48.8750628
1484054970,Le Vénitien,bar,2.3357596,48.8710457
1486314027,Le Petit Bistrot,bar,2.3467197,48.8706525
1488772080,Aux Deux Gares,bar,2.3564644,48.8784174
1488772097,Le Camélia,bar,2.3577149,48.8796001
1488772104,Stop Nord Est,bar,2.3560228,48.8768603
1489177443,La Rose Rouge,bar,2.3637372,48.8811904
1489177454,Le Rond Point,bar,2.3708586,48.8827558
1490922325,Aux Gorges du Tarn,bar,2.3349268,48.8700724
1490922371,Le Cesar,bar,2.3368573,48.8672079
1491914923,Le Chiquito,bar,2.2563407,48.8974645
1503093279,La Fontaine Molière,bar,2.3368066,48.8658764
1506143579,Le Chouan,bar,1.8540459,48.6941016
1506812699,Bar Che,bar,1.7318377,48.9951299
1506812701,Brasserie de la Mairie,bar,1.730852,48.9938207
1506812752,Le Bistrot de Santeuil,bar,1.9495781,49.1245826
1506815829,à la Petite Jeunesse,bar,1.7273167,48.9938813
1509993140,Le Querey,bar,2.5213296,48.7705913
1512693745,Chistera,bar,2.3197787,48.8131923
1518883007,LS Café,bar,2.4597289,48.7949669
1524878659,brasserie du mail,bar,2.1043319,49.0476001
1531951109,Kenflo,bar,2.2465446,48.8986483
1531951131,Le Porto,bar,2.2468894,48.8982751
1544866110,Le Davout,bar,2.4103242,48.8535604
1544890373,La Reale,bar,2.4104272,48.8530681
1552648425,Le Mistral,bar,2.484446,48.8425722
1554858769,Chez Tonton,bar,2.6571009,48.5342807
1563764760,Au Petit Bar,bar,2.3551119,48.8376093
