NOM DU MUSEE,ADR,CP,VILLE,SITWEB,latitude,longitude
Musée Charles-Louis Philippe,"5, Rue Charles-Louis Philippe",03350,CERILLY,http://www.mairie-cerilly.fr,46.617913,2.823245
Musée Municipal de Gannat,Place Rantian,03800,GANNAT,http://www.bassin-gannat.com/,46.102147,3.19633
Musée Rural de la Sologne Bourbonnaise,"Michel LABONNE

Secrétaire des Amis du Muséee

149, Route de Bourgogne",03400,IZEURE,,46.57337,3.359803
Musée des Musiques Populaires - MuPop,"3, Rue Notre Dame",03100,MONTLUCON,http://www.mupop.fr,46.34088,2.605558
Musée Anne de Beaujeu,"1, Avenue Victor Hugo

B.P. 1669",03016,MOULINS Cedex,http://www.mab.allier.fr,46.568527,3.333844
Musée Municipal de Souvigny,Place Aristide Briand,03210,SOUVIGNY,site de la ville www.ville-souvigny.com,46.534768,3.192475
Musée des Arts D'Afrique et D'Asie,"11, Rue Mounin",03200,VICHY,http://www.musee-aaa.com,46.128546,3.420555
Musée des Sciences,Château Saint Etienne,15000,AURILLAC,http://www.aurillac.fr,44.933328,2.444943
Musée d'Art et d'Archéologie,"Centre Culturel Pierre Mendès France

37, rue des Carmes",15012,AURILLAC Cedex,http://www.ville-aurillac.fr,44.925394,2.441947
Ecomusée de Margeride-Haute-Auvergne,"La Tour

Jardin de Saint-Martin",15320,RUYNES-EN-MARGERIDE,http://www.saint-flour.fr/culture/musees/ecomusee-margeride.php,45.000522,3.224427
Musée d'art et d'histoire Alfred Douët,"Maison consulaire

17, Place d'Armes",15100,SAINT-FLOUR,Site de la ville,45.034016,3.095067
Musée de la Haute Auvergne,"Palais épiscopal

1, Place d'Armes",15100,SAINT-FLOUR,http://www.auvergne-centrefrance.com/geotouring/musees/detail/mus154.htm,45.033137,3.094858
Musée de Paléontologie,Place de l'église,43380,CHILHAC,http://www.museechilhac.fr,45.158926,3.432601
Musée des Arts et Traditions Populaires de Haute Loire,,43100,LAVAUDIEU,Site des amis de Lavaudieu - www.abbayedelavaudieu.fr,45.274699,3.434854
Musée des Manufactures de Dentelles,"14, avenue de la Gare",43130,RETOURNAC,http://www.ville-retournac.fr/musee/francais/indexfr.htm,45.202545,4.035302
Musée de la Ferblanterie,,43300,SAINT ARCONS D'ALLIER,,45.090036,3.574618
Musée de la Dentelle,"53, Route Nationale",63220,ARLANC,http://www.arlanc.com/musee_dentelle.htm,45.414373,3.724421
Musée d'Archéologie Bargoin,"45, rue Ballainvilliers",63000,CLERMONT-FERRAND,http://www.clermont-ferrand.fr/-Musee-Bargoin-.html,45.774229,3.0869
Muséum d'Histoire Naturelle Henri-Lecoq,"15, rue Bardoux",63000,CLERMONT-FERRAND,http://www.museelecoq.clermont-ferrand.fr ou www.clermont-ferrand.fr/-Museum-Henri-Lecoq-.html,45.774138,3.088299
Musée Départemental de la Céramique Gallo-Romaine,"39, Rue de la République

B.P. 30",63190,LEZOUX,"www.puydedome.fr rubrique ""découvrir le Puy-de-Dôme""",46.632156,1.066913
